Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Flower, DR; ",Inelastic collisions between C/sup+/(/sup 2/P) and H/sub 2,"J. Phys., B (London);(United Kingdom)",21,15,,1988,
"Badger, SD; Hughes, IG; Adams, CS; ",Hyperfine effects in electromagnetically induced transparency,"Journal of Physics B: Atomic, Molecular and Optical Physics",34,22,L749,2001,IOP Publishing
"Millen, J; Lochead, G; Jones, MPA; ",Two-electron excitation of an interacting cold Rydberg gas,Physical review letters,105,21,213004,2010,APS
"Schäfer, Florian; Konishi, Hideki; Bouscal, Adrien; Yagami, Tomoya; Frye, Matthew D; Hutson, Jeremy M; Takahashi, Yoshiro; ",Ultracold collisions in the Yb-Li mixture system,Journal of Physics: Conference Series,1412,6,062005,2020,IOP Publishing
"Flower, DR; Bourhis, G; Launay, J-M; ",Molcol: A program for solving atomic and molecular collision problems,Computer physics communications,131,3,187-201,2000,Elsevier
"Gardiner, Simon Alexander; ","Quantum measurement, quantum chaos, and Bose-Einstein condensates",,,,,2000,na
"Potvliege, RM; ",Role of the magnetic component of the incident field in the adiabatic stabilization of circular states,Laser physics,10,,,2000,IOP Publishing
"Douketis, C; Hutson, JM; Orr, BJ; Scoles, G; ",Anisotropic intermolecular forces from Hartree-Fock plus damped dispersion (HFD) calculations: Application to Ar-HCl and Ar-HF,Molecular Physics,52,4,763-781,1984,Taylor & Francis
"Bakule, P; Bagayev, SN; Baird, PEG; Boshier, MG; Cornish, SL; Dychkov, S; Hughes, VW; Jungmann, K; Lane, IC; Liu, Y-W; ",Laser system for 1S-2S spectroscopy of Muonium at RAL,KEK PROCEEDINGS,,,8-17,1998,NATIONAL LABORATORY FOR HIGH ENERGY PHYSICS
"Flower, D; ","Book Review: Molecular collisions in the interstellar medium/Cambridge U Press, 1990","Astrophysics and space science, vol. 174, no. 2, p. 327 (1990)",174,,327,1990,
